Page,Words,H1,H2,FAQ,Schema,Issues,Status
src/pages/404.astro,204,1,1,0,OK,"",OK
src/pages/about.astro,2418,1,14,8,OK,"",OK
src/pages/activewear-manufacturer.astro,3599,1,14,8,OK,"",OK
src/pages/all-services.astro,1056,1,8,0,INVALID-SCHEMA,"INVALID-SCHEMA",FIX
src/pages/apparel-manufacturers.astro,567,1,5,0,OK,"",OK
src/pages/baby-clothing-manufacturer.astro,5590,1,10,6,OK,"",OK
src/pages/bamboo-clothing-manufacturer.astro,1123,1,9,8,OK,"",OK
src/pages/bangladesh-vs-china-clothing-manufacturing.astro,540,1,3,8,INVALID-SCHEMA,"INVALID-SCHEMA",FIX
src/pages/bangladesh-vs-india-clothing-manufacturing.astro,4601,1,9,8,OK,"",OK
src/pages/bangladesh-vs-vietnam-clothing-manufacturing.astro,4441,1,10,8,OK,"",OK
src/pages/best-clothing-manufacturer-for-startups.astro,3158,1,15,8,OK,"",OK
src/pages/best-clothing-manufacturers-2026.astro,5794,1,13,0,OK,"",OK
src/pages/best-clothing-manufacturers-for-small-business.astro,3314,1,9,8,OK,"",OK
src/pages/bikini-manufacturer.astro,5120,1,10,6,OK,"",OK
src/pages/blazer-manufacturer.astro,3841,1,9,8,OK,"",OK
src/pages/board-shorts-manufacturer.astro,1904,1,8,6,OK,"",OK
src/pages/bomber-jacket-manufacturer.astro,2722,1,10,8,OK,"",OK
src/pages/branding-launch.astro,710,1,7,0,OK,"",OK
src/pages/bulk-clothing-manufacturer.astro,970,1,9,8,OK,"",OK
src/pages/careers.astro,1372,1,1,0,OK,"",OK
src/pages/cargo-pants-manufacturer.astro,2574,1,9,8,OK,"",OK
src/pages/case-studies/index.astro,66,1,1,0,OK,"",OK
src/pages/cashmere-clothing-manufacturer.astro,1241,1,9,8,OK,"",OK
src/pages/certifications.astro,3316,1,7,6,INVALID-SCHEMA,"INVALID-SCHEMA",FIX
src/pages/childrens-clothing-manufacturer.astro,1985,1,8,6,OK,"DESC-TOO-LONG(170c)",FIX
src/pages/clothing-brand-launch-checklist.astro,5846,1,13,8,OK,"",OK
src/pages/clothing-brand-startup-costs.astro,3484,1,8,8,OK,"",OK
src/pages/clothing-exporter.astro,1959,1,7,8,OK,"",OK
src/pages/clothing-factory.astro,2776,1,11,8,OK,"",OK
src/pages/clothing-manufacturer-argentina.astro,846,1,7,0,OK,"",OK
src/pages/clothing-manufacturer-australia.astro,1607,1,7,8,INVALID-SCHEMA,"INVALID-SCHEMA",FIX
src/pages/clothing-manufacturer-austria.astro,1838,1,10,10,OK,"",OK
src/pages/clothing-manufacturer-bangladesh.astro,3996,1,10,8,OK,"",OK
src/pages/clothing-manufacturer-belgium.astro,1142,1,6,8,OK,"",OK
src/pages/clothing-manufacturer-brazil.astro,844,1,7,0,OK,"",OK
